9

Author: Jake Vallow
Organisation: University of York, Wolfson Atmospheric Chemistry Laboratory
contact: jake.vallow@york.ac.uk
Instrument ID: Single Channel NO-LIF, laser 3
label: Example data
Reprocessed on: 2025/05/22 17:10:46
Time reference: (seconds since 1904-01-01 00:00:00)
Permalink to reprocess code: 

mac_time_s,lsr_pwr_on_mW,lsr_pwr_off_mW,lsr_pwr_mW,ref_on_cts,ref_off_cts,ref_cts_diff,sig_A_on_cts,sig_A_off_cts,sig_A_diff_cts,task,cal_mfc,blc_flag_0,blc_flag_1,sig_cell_flow,cell_pressure,ref_cell_flow
3814306148.061,0.4990325,0.50136,0.50019625,534619.1434420041,112378.68345882329,422240.4599831808,68574.74654372728,15353.75526529634,53220.991278430934,2.0,0.5029296875,1.0,1.0,0.939010756688,99.3879950523,0.503854999542
3814306148.161,0.49754,0.505655,0.5015974999999999,536615.3571261456,110131.24510424859,426484.11202189705,71542.08524357164,13480.639289234347,58061.445954337294,2.0,0.5029296875,1.0,1.0,0.939010756688,99.3879950523,0.503854999542
3814306148.261,0.49688875,0.49827,0.497579375,525878.5708365614,113071.5024617477,412807.06837481365,67806.33769361777,12753.922710373026,55052.414983244744,2.0,0.5029296875,1.0,1.0,0.947428597737,102.237626553,0.497719664574
3814306148.361,0.49690375,0.503325,0.500114375,524264.84680524457,116965.80738832348,407299.0394169211,71455.4275786546,13034.887532007066,58420.54004664754,2.0,0.5029296875,1.0,1.0,0.947428597737,102.237626553,0.497719664574
3814306148.461,0.49713874999999996,0.503835,0.500486875,528949.4472780454,108779.82220555615,420169.6250724892,65795.26617042047,13934.042787496768,51861.223382923694,2.0,0.49609375,1.0,1.0,0.970298279821,99.6592383385,0.501225934029
3814306148.561,0.49615,0.500375,0.4982625,525390.6412728815,110291.02198424557,415099.61928863596,68916.79618825206,12613.153768491711,56303.64241976035,2.0,0.49609375,1.0,1.0,0.970298279821,99.6592383385,0.501225934029
3814306148.661,0.4979275,0.5047699999999999,0.50134875,530385.0373019989,109911.73557323168,420473.3017287672,66820.49665981469,13093.690980237623,53726.80567957706,2.0,0.49609375,1.0,1.0,1.02338115687,99.3879950523,0.496842460632
3814306148.761,0.49543375,0.49565499999999996,0.495544375,515693.4211841157,118392.79360112333,397300.62758299237,70419.176279706,12915.148238747199,57504.028040958794,2.0,0.49609375,1.0,1.0,1.02338115687,99.3879950523,0.496842460632
3814306148.861,0.495735,0.502295,0.499015,521435.18270817143,111664.83166101149,409770.35104715993,67575.98823415488,13666.0739032038,53909.914330951084,2.0,0.49609375,1.0,1.0,1.03667689765,100.744999981,0.501225934029
3814306148.961,0.49303624999999995,0.50404,0.498538125,523949.8968035426,108502.7543417712,415447.14246177144,70801.12000394327,12604.837794824642,58196.28220911863,2.0,0.49609375,1.0,1.0,1.03667689765,100.744999981,0.501225934029
3814306149.061,0.492445,0.493705,0.49307500000000004,522673.3866233356,114390.17774820932,408283.20887512626,67922.75717569314,15379.249340589875,52543.50783510327,2.0,0.510937511921,1.0,1.0,1.03304990154,102.509066963,0.502101864815
3814306149.161,0.49292250000000004,0.5081,0.50051125,518587.6477332484,111273.46631360723,407314.1814196412,69987.12882247593,14869.457824754776,55117.67099772116,2.0,0.510937511921,1.0,1.0,1.03304990154,102.509066963,0.502101864815
3814306149.261,0.48984875,0.502785,0.496316875,511434.91325299884,108908.37784721694,402526.53540578193,68186.46225130289,13449.590734063468,54736.87151723942,2.0,0.510937511921,1.0,1.0,1.04030467718,99.3879950523,0.500348730087
3814306149.361,0.49064625000000006,0.497305,0.49397562500000003,508314.0643609783,112891.9706007754,395422.09376020293,68227.65081470384,12462.8880780988,55764.762736605044,2.0,0.510937511921,1.0,1.0,1.04030467718,99.3879950523,0.500348730087
